86b184ce-29a8-4c93-84c8-ccb50df8d9fd, [14:09:23:856:50963856:856963000, Cliente 8]
4bd46ed0-85f8-427b-9112-4993993466f0, [14:09:23:856:50963856:856963000, Cliente 8]
2d9d9cae-5b95-4a15-984f-9144d60a05ef, [14:09:23:856:50963856:856963000, Cliente 8]
8b6b9988-b934-4950-8daa-99c966846182, [14:09:23:856:50963856:856963000, Cliente 8]
0402ca97-e7c4-4698-9cba-b6d600b218e5, [14:09:23:856:50963856:856963000, Cliente 8]
724c0080-c2a3-455d-a7d2-89b6d8219f62, [14:09:23:856:50963856:856963000, Cliente 8]
fbec655f-7a1f-42e6-9427-3709080c62df, [14:09:23:856:50963856:856963000, Cliente 8]
622ef05d-3a7d-40cb-bf24-abdf73f01631, [14:09:23:856:50963856:856963000, Cliente 8]
cb1c1cee-f629-4211-b258-f78b5b1394dc, [14:09:23:856:50963856:856963000, Cliente 8]
f3129dd9-4b42-4131-a51c-f99b3fc97850, [14:09:23:856:50963856:856963000, Cliente 8]
d33809ab-353d-4b6f-b356-c887d487ff7c, [14:09:23:856:50963856:856963000, Cliente 8]
36b535eb-ab35-45d5-ba04-a206dad84936, [14:09:23:856:50963856:856963000, Cliente 8]
67ef48fc-252d-4ba7-8bc1-1ce3bb499e7f, [14:09:23:856:50963856:856963000, Cliente 8]
e8f872c2-a83d-4d2c-ba0e-a75ecc69a80b, [14:09:23:856:50963856:856963000, Cliente 8]
0b1575f3-c7f4-45bc-80fa-0a8140c1daf0, [14:09:23:856:50963856:856963000, Cliente 8]
0d387bc8-de3d-4bc9-95a6-cf24012890f1, [14:09:23:856:50963856:856963000, Cliente 8]
c8dc0d54-57c0-4555-a55f-86e3123d8f54, [14:09:23:856:50963856:856963000, Cliente 8]
173fb92e-07eb-4da6-a755-db09db7f3425, [14:09:23:856:50963856:856963000, Cliente 8]
2742b58f-ad99-4799-a003-effb72fcb051, [14:09:23:856:50963856:856963000, Cliente 8]
30a00719-67a4-40e8-afd2-58d12d4632c8, [14:09:23:856:50963856:856963000, Cliente 8]
69b664c7-07a7-45d5-be4f-1dc48546b2fa, [14:09:23:856:50963856:856963000, Cliente 8]
de21bcd1-bf0d-4880-b5f5-0082abd5040c, [14:09:23:856:50963856:856963000, Cliente 8]
030ff7de-6bdf-4361-916f-9d346f493a5b, [14:09:23:856:50963856:856963000, Cliente 8]
