8265df09-2213-44df-a26f-3d86cc2562a4, [13:29:57:404:48597404:404969000, Cliente 4]
8acd366c-3544-46c6-9040-78dbfe54a36e, [13:29:57:404:48597404:404969000, Cliente 4]
1f339e17-5bf7-4454-8266-91b2b93ffd21, [13:29:57:404:48597404:404969000, Cliente 4]
eb5b1584-9615-4a8c-a37e-223cd2316079, [13:29:57:404:48597404:404969000, Cliente 4]
8bac1973-18c9-42be-b118-9e81c230a7ac, [13:29:57:404:48597404:404969000, Cliente 4]
fa744e64-b1e4-4be2-8033-c833e38e84f1, [13:29:57:404:48597404:404969000, Cliente 4]
2537038b-e826-4a58-8c43-c5a4be166ce1, [13:29:57:404:48597404:404969000, Cliente 4]
bb5c0ce2-9b04-4f24-9ccf-2e210371abb4, [13:29:57:404:48597404:404969000, Cliente 4]
9dd8606e-8f5d-4d38-a126-061ab485253a, [13:29:57:404:48597404:404969000, Cliente 4]
aa608b2f-082a-4ee1-b37e-79be7b356f9d, [13:29:57:404:48597404:404969000, Cliente 4]
d31b6662-d0c5-45b8-8d76-62456ef23ad9, [13:29:57:404:48597404:404969000, Cliente 4]
3970d854-55c6-4a4c-9288-75e54de62ecc, [13:29:57:404:48597404:404969000, Cliente 4]
13edc775-9e40-4051-adc6-39ec11e6c2f8, [13:29:57:404:48597404:404969000, Cliente 4]
9bf0c8e8-0e07-4dd1-8eaf-dc7d0eed1927, [13:29:57:404:48597404:404969000, Cliente 4]
5dc627c6-cf80-40c4-9a80-9ea8e53c49ae, [13:29:57:404:48597404:404969000, Cliente 4]
a53df74b-bc72-454f-8060-72bc96cf3ac1, [13:29:57:404:48597404:404969000, Cliente 4]
07e899a0-126f-4150-9d3e-d142af83daa2, [13:29:57:404:48597404:404969000, Cliente 4]
bf995806-70a1-4827-a342-3847e39b5ade, [13:29:57:404:48597404:404969000, Cliente 4]
150aeaa0-7045-433b-bdfa-dadafe4a7968, [13:29:57:404:48597404:404969000, Cliente 4]
f1343b5a-c4a7-4394-bb71-d00b2bc4df4d, [13:29:57:404:48597404:404969000, Cliente 4]
625d4211-d150-472a-8f51-4cd52c683595, [13:29:57:404:48597404:404969000, Cliente 4]
e31fd404-fddc-4632-8135-08beba595956, [13:29:57:404:48597404:404969000, Cliente 4]
0178fbca-d8d9-44f2-aeaf-3efbc267dcca, [13:29:58:415:48598415:415843000, Cliente 5]
993f496d-78ce-4f79-b545-8205cf4846d2, [13:29:58:415:48598415:415843000, Cliente 5]
945cc387-0c49-4a72-b668-198419f3dc22, [13:29:58:415:48598415:415843000, Cliente 5]
909cc122-2a29-437c-88ba-53aff3d3fe63, [13:29:58:415:48598415:415843000, Cliente 5]
6d3759c6-3ac1-46eb-969b-717ef4868d53, [13:29:58:415:48598415:415843000, Cliente 5]
72d18e2e-f9f0-466b-8711-62c46ed72df4, [13:29:58:415:48598415:415843000, Cliente 5]
f46cb94d-d4bb-425f-b41b-5572ac4864d6, [13:29:58:415:48598415:415843000, Cliente 5]
f4147763-f7c3-4c2c-b8d8-cf0c3fa053a3, [13:29:58:415:48598415:415843000, Cliente 5]
95ae2ae7-9bbb-469f-b0a4-fc809b2ded53, [13:29:58:415:48598415:415843000, Cliente 5]
5eebe6c3-919b-4013-a886-5c64839abf63, [13:29:58:415:48598415:415843000, Cliente 5]
9e6de4de-e208-4cb0-bd52-9bcd25feab64, [13:29:58:415:48598415:415843000, Cliente 5]
56aab10f-7624-41b1-9ef9-1fd5bc53a0aa, [13:29:58:415:48598415:415843000, Cliente 5]
a394aeaa-d103-47b3-a776-e98bfecbe557, [13:29:58:415:48598415:415843000, Cliente 5]
ed102400-54a9-42d7-9f2e-0ff97fac875a, [13:29:58:415:48598415:415843000, Cliente 5]
093b99ae-3438-4723-9ff0-42dd1d078d30, [13:29:58:415:48598415:415843000, Cliente 5]
ebb9c720-2328-481b-af86-4823c9e3a12d, [13:29:58:415:48598415:415843000, Cliente 5]
6b84d89f-35bd-4441-a042-f35799f8031e, [13:29:58:415:48598415:415843000, Cliente 5]
dd23a241-c785-450e-872b-f15a7c227ca4, [13:29:58:415:48598415:415843000, Cliente 5]
740b1157-babe-4c72-aa92-696b7ffaf337, [13:29:58:415:48598415:415843000, Cliente 5]
58461922-53ec-4465-93ba-4b23f157e10e, [13:29:58:415:48598415:415843000, Cliente 5]
