7d8166d3-c6da-4c9f-9e13-8d8cb9ee47d8, [20:07:02:015:72422015:015357000, Cliente 2]
5b4018e4-a3be-4aea-b551-4657573cd817, [20:07:03:001:72423001:001735000, Cliente 3]
e93ceb80-cb17-4c55-b679-716eb23afcda, [20:07:03:001:72423001:001735000, Cliente 3]
38954490-e15d-4b60-a750-008e51c15120, [20:07:03:001:72423001:001735000, Cliente 3]
20e7a985-49b3-4e85-8e99-29817b435bda, [20:07:03:001:72423001:001735000, Cliente 3]
a11b702b-e253-4a5c-a032-1325454bb0cf, [20:07:03:001:72423001:001735000, Cliente 3]
a30c01a2-6319-42a4-a108-5f591a1dbc63, [20:07:03:001:72423001:001735000, Cliente 3]
ad026bc4-ed5c-489a-b25c-c35b3f1d4902, [20:07:03:001:72423001:001735000, Cliente 3]
ff66fef7-5fb3-47e4-9e3e-f286a1d2602c, [20:07:03:001:72423001:001735000, Cliente 3]
c173a446-2c51-4ba3-9e14-e720bb09dbd5, [20:07:03:001:72423001:001735000, Cliente 3]
bf2319ca-9383-4d39-9dd6-40f7c715a6d6, [20:07:03:001:72423001:001735000, Cliente 3]
b951bbeb-bb3a-4899-a99f-b2e38c1dbfab, [20:07:03:001:72423001:001735000, Cliente 3]
1d4e3752-8950-41c2-86c2-518227bd2c02, [20:07:03:001:72423001:001735000, Cliente 3]
8a781800-5063-4b41-9e44-34ed4c6e0e72, [20:07:03:001:72423001:001735000, Cliente 3]
e6e64d1c-7084-425a-bc1c-a17b7417334a, [20:07:03:001:72423001:001735000, Cliente 3]
b2ae6a76-875a-458d-b356-a05239772c6a, [20:07:03:001:72423001:001735000, Cliente 3]
9c739bd8-a6fa-4ea3-bc3f-2eb001a3bc48, [20:07:03:001:72423001:001735000, Cliente 3]
d11e58cd-0aa3-49fb-b5e6-fbc671bd09c5, [20:07:03:001:72423001:001735000, Cliente 3]
24155d63-7692-4417-93f2-d6167c92e7ef, [20:07:03:001:72423001:001735000, Cliente 3]
d3f77fe5-da9b-4b1a-a159-5176308b4cdf, [20:07:03:001:72423001:001735000, Cliente 3]
863e4c23-9ac0-42e5-9d8b-70ef3fb0ed0d, [20:07:03:001:72423001:001735000, Cliente 3]
330f008f-23fc-4efe-96c6-174b7b6a5503, [20:07:03:001:72423001:001735000, Cliente 3]
fdd4c42e-a86b-41e2-9651-a1ff49ee48b6, [20:07:03:001:72423001:001735000, Cliente 3]
94078a36-5e81-40c4-9285-3fe41b5b2146, [20:07:03:001:72423001:001735000, Cliente 3]
610eca81-b8f2-4f87-bfc4-0deff6577051, [20:07:03:001:72423001:001735000, Cliente 3]
c7c75f3f-a8c7-415e-84e0-00b7827a00b1, [20:07:03:001:72423001:001735000, Cliente 3]
bd5473a2-c379-4c7d-91e7-1c56701ec33b, [20:07:03:001:72423001:001735000, Cliente 3]
7b9cbaab-248e-4dc6-b31d-fe04ef9cc7da, [20:07:03:001:72423001:001735000, Cliente 3]
9d7fae44-455d-4c23-bc63-018ee2519e19, [20:07:03:001:72423001:001735000, Cliente 3]
8dc59df2-3fa9-4cc4-8f99-75da58881fd3, [20:07:03:001:72423001:001735000, Cliente 3]
dddc78eb-c937-40d6-88b1-831d34d1dba8, [20:07:03:001:72423001:001735000, Cliente 3]
8d3f6b50-677a-4557-b476-4f771521573a, [20:07:03:001:72423001:001735000, Cliente 3]
442c2ddf-e1e7-41c5-b2a8-4f07bdb0face, [20:07:03:001:72423001:001735000, Cliente 3]
216b7b22-25da-4436-afe9-9bf7f68b22ff, [20:07:03:001:72423001:001735000, Cliente 3]
322722b1-031a-4bf2-84b1-485499cfd816, [20:07:03:001:72423001:001735000, Cliente 3]
5f3b9905-77d4-4c56-8647-fd6f884e0d35, [20:07:03:001:72423001:001735000, Cliente 3]
730c5fbd-c769-41b9-a893-62dabe190c02, [20:07:03:001:72423001:001735000, Cliente 3]
a9cf584a-77c2-4712-a434-5f1812f3b8ad, [20:07:03:001:72423001:001735000, Cliente 3]
9f623598-6169-4189-a482-774692c47b01, [20:07:03:001:72423001:001735000, Cliente 3]
ef49792d-31fc-4dda-a337-2c5ca53b5437, [20:07:03:001:72423001:001735000, Cliente 3]
d7c93c04-32d0-42ba-bc2b-51abaa6cd570, [20:07:03:001:72423001:001735000, Cliente 3]
dfa77cd5-d10a-493b-b8c6-776663e743d0, [20:07:03:001:72423001:001735000, Cliente 3]
a42e9c5c-5693-477d-a8f7-8b7eb863844f, [20:07:03:001:72423001:001735000, Cliente 3]
04fdda3f-0bfa-4dcc-ad02-39edaca31c56, [20:07:03:001:72423001:001735000, Cliente 3]
05e683cf-ca00-4bc2-9b8b-a8502e4ab1ed, [20:07:03:001:72423001:001735000, Cliente 3]
90d79efc-4384-4e7c-a3ed-92aa2c5d318e, [20:07:03:001:72423001:001735000, Cliente 3]
6fca4dfd-03ec-4a39-b292-087a7b7e4a75, [20:07:03:001:72423001:001735000, Cliente 3]
a3438318-dacb-45e3-a7c3-9f95f40f54ec, [20:07:03:001:72423001:001735000, Cliente 3]
b6e03dab-3858-4d80-8dbc-cac1e3b75b36, [20:07:03:001:72423001:001735000, Cliente 3]
005d8920-9fa4-4b4c-83a6-7fd3430b20c0, [20:07:03:001:72423001:001735000, Cliente 3]
4f584160-c19a-4206-8910-2519b808d735, [20:07:03:001:72423001:001735000, Cliente 3]
eb1404aa-a61b-4356-bcb0-af1a0a78ee09, [20:07:04:003:72424003:003660000, Cliente 4]
5f89ed8b-bef6-48a4-8fe4-1b40ad02599f, [20:07:04:003:72424003:003660000, Cliente 4]
4b201187-8de9-4c98-9123-8a5ab4d5ca58, [20:07:04:003:72424003:003660000, Cliente 4]
857b4a57-2559-42ff-8604-99e2f8144888, [20:07:04:003:72424003:003660000, Cliente 4]
354364c2-5959-4280-b2e4-c5bde04a1abe, [20:07:04:003:72424003:003660000, Cliente 4]
0ddca5de-3b61-4c5b-afd8-6554126162bc, [20:07:04:003:72424003:003660000, Cliente 4]
029a87af-a448-476c-8917-d7799c949457, [20:07:04:003:72424003:003660000, Cliente 4]
5bfdef29-ffed-42e1-b515-9678a4b77ec0, [20:07:04:003:72424003:003660000, Cliente 4]
6debda4f-bf7b-4f98-8995-ddee9dfcc949, [20:07:04:003:72424003:003660000, Cliente 4]
191cc362-7500-4eab-b82a-d5e98be13381, [20:07:04:003:72424003:003660000, Cliente 4]
bc482c35-24f9-4956-aa7d-be14a44da499, [20:07:04:003:72424003:003660000, Cliente 4]
93441ad0-7b99-4447-88ee-b69a31899f4c, [20:07:04:003:72424003:003660000, Cliente 4]
f8e8c415-ceb7-47dd-b574-fd380b11a87f, [20:07:04:003:72424003:003660000, Cliente 4]
60c25b58-b13f-4b83-afd4-84aaeb0696d0, [20:07:04:003:72424003:003660000, Cliente 4]
9b275a7c-a265-4354-b897-71ef311cdcda, [20:07:04:003:72424003:003660000, Cliente 4]
22a54f05-30c8-4dbf-b254-d11de6c46b76, [20:07:04:003:72424003:003660000, Cliente 4]
a2103f4d-a9aa-4522-89ea-53c844514d04, [20:07:04:003:72424003:003660000, Cliente 4]
b682539d-d284-4a0c-b4ea-e16a1b1382b4, [20:07:04:003:72424003:003660000, Cliente 4]
d6c58f34-cfa5-4d37-9104-de7e0dc1fe4f, [20:07:04:003:72424003:003660000, Cliente 4]
5ccba2a9-41d1-4968-9099-97207daf041f, [20:07:04:003:72424003:003660000, Cliente 4]
765ed669-f079-45df-8208-85231c12e712, [20:07:04:003:72424003:003660000, Cliente 4]
8cc74d43-6388-4c59-99a4-d3a72636af60, [20:07:04:003:72424003:003660000, Cliente 4]
f65f5a65-84ae-40c5-9ad1-f174dad881d3, [20:07:04:003:72424003:003660000, Cliente 4]
a0e454ab-6b28-4034-aa43-5c6f0bc9837f, [20:07:04:003:72424003:003660000, Cliente 4]
e1b34b6e-a84c-4acb-b7da-f8e3923a698c, [20:07:04:003:72424003:003660000, Cliente 4]
d3e7b0fb-c4ac-48db-8462-686d269d4cb6, [20:07:04:003:72424003:003660000, Cliente 4]
e340f824-0469-4db5-a0aa-e470adcf09a0, [20:07:04:003:72424003:003660000, Cliente 4]
9a2eafd2-022f-4010-af4a-622824c9ebc3, [20:07:04:003:72424003:003660000, Cliente 4]
fad41804-0877-4d85-a6eb-764ec00340f3, [20:07:04:003:72424003:003660000, Cliente 4]
522ba54b-0ec1-462d-b532-9590670cb6a2, [20:07:04:003:72424003:003660000, Cliente 4]
c1345525-91e2-4e14-a279-2021a51520d4, [20:07:04:003:72424003:003660000, Cliente 4]
855f337c-dee8-4a99-aef5-49d243ef2a65, [20:07:04:003:72424003:003660000, Cliente 4]
5a338358-6458-40d0-b3ae-2db0cc41259d, [20:07:04:003:72424003:003660000, Cliente 4]
4cda6a86-c104-4650-86ab-14ec1dcdf4e7, [20:07:04:003:72424003:003660000, Cliente 4]
a550c8c5-5bd7-4a31-a9ed-789fdebfd783, [20:07:04:003:72424003:003660000, Cliente 4]
30797144-b8e9-44a7-8418-9761c8ff246a, [20:07:04:003:72424003:003660000, Cliente 4]
5a3ea40f-c878-48aa-8e09-93459ba81919, [20:07:04:003:72424003:003660000, Cliente 4]
97ed9f52-2e2e-418d-b1bf-da4f8d4af769, [20:07:04:003:72424003:003660000, Cliente 4]
47c2ef25-a329-4cc2-afa3-5e29f345607d, [20:07:04:003:72424003:003660000, Cliente 4]
645c36d5-1194-4d5c-8dd0-e84eac93a0c2, [20:07:04:003:72424003:003660000, Cliente 4]
49d2881d-18ae-46d0-9042-f068dc7bf956, [20:07:04:003:72424003:003660000, Cliente 4]
ac89bbb6-afcb-43f6-96d6-9f92861d5a02, [20:07:04:003:72424003:003660000, Cliente 4]
055e0852-db32-41f4-9678-b421478d7152, [20:07:04:003:72424003:003660000, Cliente 4]
bd583b4e-8906-4ef7-94cd-f55981f1b842, [20:07:04:003:72424003:003660000, Cliente 4]
ff216437-f015-4c4b-9bb7-081683cc857e, [20:07:04:003:72424003:003660000, Cliente 4]
2050d405-4c0f-49d0-a5aa-17d4b2a7b913, [20:07:04:003:72424003:003660000, Cliente 4]
0ad3d877-7f26-4cac-b992-b6bfe682d683, [20:07:04:003:72424003:003660000, Cliente 4]
