e7221c27-795e-471f-a815-1ffb86bad44e, [14:03:02:412:50582412:412682000, Cliente 3]
fff9350d-3c9c-401c-bf8a-c38eed14d142, [14:03:02:412:50582412:412682000, Cliente 3]
8615f47b-b804-4f63-881c-f83d54bdcdcc, [14:03:02:412:50582412:412682000, Cliente 3]
e7b20ba1-a5ad-46b8-b7ae-22d9153fa37c, [14:03:02:412:50582412:412682000, Cliente 3]
5e82fd3b-4c03-4012-b951-f5ce10eb87f1, [14:03:02:412:50582412:412682000, Cliente 3]
8d681b98-a1da-4be9-8071-103e0aaf427a, [14:03:02:412:50582412:412682000, Cliente 3]
3d2917fc-c81e-4b68-907a-b2dfd1beebfe, [14:03:02:412:50582412:412682000, Cliente 3]
6e3e8acc-3eda-4a91-8198-edee10e2e0b3, [14:03:02:412:50582412:412682000, Cliente 3]
447d79f6-ba65-4216-8712-5433c2aabab3, [14:03:02:412:50582412:412682000, Cliente 3]
26d490bc-dc14-43cb-b783-c3bec31b2426, [14:03:02:412:50582412:412682000, Cliente 3]
663b4d1a-6290-46d6-a31f-6be6867d5ebc, [14:03:02:412:50582412:412682000, Cliente 3]
6c2c521f-88cf-4b21-8a7c-bb5702d91d69, [14:03:02:412:50582412:412682000, Cliente 3]
02d131e8-0da3-4668-8046-05aa1d2d5bb1, [14:03:02:412:50582412:412682000, Cliente 3]
4ef292a6-e09a-4e70-a2dd-7ad094f1e67a, [14:03:02:412:50582412:412682000, Cliente 3]
9cbe5a9c-0f3d-4a17-807b-34cfb321f20e, [14:03:02:412:50582412:412682000, Cliente 3]
6e7ac113-6ec0-480e-a648-3452fa640040, [14:03:02:412:50582412:412682000, Cliente 3]
f46a5570-1ac6-4e8b-b98d-c020130af236, [14:03:02:412:50582412:412682000, Cliente 3]
aeb745cf-f33e-40cb-96c8-c8928ea7582a, [14:03:02:412:50582412:412682000, Cliente 3]
319cfbb4-a2ac-4fca-bd9a-ac5cbb30077e, [14:03:02:412:50582412:412682000, Cliente 3]
0a0ceffb-3c17-4b8c-a869-5008a85d6d40, [14:03:02:412:50582412:412682000, Cliente 3]
04af8965-0216-4549-9c89-6041f238e766, [14:03:02:412:50582412:412682000, Cliente 3]
9e87acb9-b38b-405e-a466-11643892303d, [14:03:02:412:50582412:412682000, Cliente 3]
849cff60-2bfa-496f-bc8b-83e3589cf248, [14:03:02:412:50582412:412682000, Cliente 3]
2c768fc2-89cc-410f-ab2e-c0a5aa1f05bc, [14:03:02:412:50582412:412682000, Cliente 3]
2d9ee607-866b-42c7-a578-3a7a2764dc1b, [14:03:02:412:50582412:412682000, Cliente 3]
3a80ea9e-aed3-4d3e-b8fb-4571d46bcee3, [14:03:02:412:50582412:412682000, Cliente 3]
d3edae07-ad46-43ad-b202-2ea5a921b8f2, [14:03:02:412:50582412:412682000, Cliente 3]
84e0f4bc-4c81-4cc2-be44-d6a3ec3a9e97, [14:03:02:412:50582412:412682000, Cliente 3]
178b07da-e284-4c2d-913f-6a028c198ae2, [14:03:02:412:50582412:412682000, Cliente 3]
b907b7d2-75e6-4163-b672-8fb8e1e94855, [14:03:02:412:50582412:412682000, Cliente 3]
704ed85d-815f-4f5d-b1f9-23717bdaf3f5, [14:03:02:412:50582412:412682000, Cliente 3]
601d3cc9-f362-4f14-8a37-35eed291086d, [14:03:02:412:50582412:412682000, Cliente 3]
