969c100a-14f8-475d-88a4-f3714a74390b, [12:53:21:107:46401107:107980000, Cliente 4]
aba4e8b9-d7f0-4ce8-9451-b02f83e085e5, [12:53:21:107:46401107:107980000, Cliente 4]
23bcc78d-6363-4256-aca8-d5ba6650b44c, [12:53:21:107:46401107:107980000, Cliente 4]
bf7b9b8d-aa28-4a5d-b4ae-651bf6a5ff30, [12:53:21:107:46401107:107980000, Cliente 4]
f6194c69-c50d-4ab0-b565-727f1b1ae753, [12:53:21:107:46401107:107980000, Cliente 4]
68b60651-cfd6-4dad-ad71-534f9f136a0b, [12:53:21:107:46401107:107980000, Cliente 4]
888e715b-976f-402d-a6d8-ebbba5dae386, [12:53:21:107:46401107:107980000, Cliente 4]
d29ac746-b78c-4b04-acc7-fef8050f9e31, [12:53:21:107:46401107:107980000, Cliente 4]
40b14f70-8c0e-473f-a466-86a32793c30e, [12:53:21:107:46401107:107980000, Cliente 4]
8ca3c70b-c4ee-45a9-bc1f-c1aa9d2ae48b, [12:53:21:107:46401107:107980000, Cliente 4]
f13569ea-d579-455c-b265-805e70daa7e2, [12:53:21:107:46401107:107980000, Cliente 4]
a3e18441-14a6-41c1-b3d4-9049df4ffa98, [12:53:21:107:46401107:107980000, Cliente 4]
c662c55a-ab3c-47ad-8167-62883bedcb35, [12:53:21:107:46401107:107980000, Cliente 4]
6d38c219-24e7-4bfb-b345-547de74baba4, [12:53:21:107:46401107:107980000, Cliente 4]
1467465c-a668-4bdb-8c85-a74bc9a4e37d, [12:53:21:107:46401107:107980000, Cliente 4]
2064b0f9-06e9-4055-b80f-bfe6ece07c39, [12:53:21:107:46401107:107980000, Cliente 4]
af333bc3-cf1c-4b55-ad3f-d5c7a893aeb8, [12:53:21:107:46401107:107980000, Cliente 4]
b51d7616-d702-4316-8f9e-2dd1843df137, [12:53:21:107:46401107:107980000, Cliente 4]
71e54399-359f-4025-a566-747f05878110, [12:53:22:120:46402120:120724000, Cliente 5]
55baf66e-2ab7-4594-bef9-fae4ebbf640f, [12:53:22:120:46402120:120724000, Cliente 5]
9f0cf0d6-5b38-4906-bf9f-7048e30615f6, [12:53:22:120:46402120:120724000, Cliente 5]
033c8354-8e5a-4965-a6d9-7698706162d8, [12:53:22:120:46402120:120724000, Cliente 5]
f1437bd0-08c1-4633-b52b-c3903e060cac, [12:53:22:120:46402120:120724000, Cliente 5]
b6923203-8825-4c06-9dcf-70cb31db7b85, [12:53:22:120:46402120:120724000, Cliente 5]
eb97660f-5119-4786-960e-6a82e9281469, [12:53:22:120:46402120:120724000, Cliente 5]
cd7c17b8-fca7-47f8-a2e4-719f59cd27ec, [12:53:22:120:46402120:120724000, Cliente 5]
88791ec5-a62d-4c99-98dc-a9049b4e65d6, [12:53:22:120:46402120:120724000, Cliente 5]
36185e7a-d05a-40db-beac-b7993c94e9cf, [12:53:22:120:46402120:120724000, Cliente 5]
47f03938-eaa4-4b19-bc49-e873cee6f75d, [12:53:22:120:46402120:120724000, Cliente 5]
eab8d58f-df09-4175-90c8-a944f81c07da, [12:53:22:120:46402120:120724000, Cliente 5]
2e0af237-72e3-4281-8daf-40206cde406e, [12:53:22:120:46402120:120724000, Cliente 5]
3ed8b30f-6751-40ea-8d76-a779bc45d58f, [12:53:22:120:46402120:120724000, Cliente 5]
41ed174a-a615-415f-88af-c59096cf9f69, [12:53:22:120:46402120:120724000, Cliente 5]
b407bf61-314d-4e8d-b70f-9409c0f2ca45, [12:53:22:120:46402120:120724000, Cliente 5]
a7bb01bc-9912-4f7b-a54e-77e926e2e8e5, [12:53:22:120:46402120:120724000, Cliente 5]
1a3574be-72cb-43cd-8280-6fea7b86dd5a, [12:53:22:120:46402120:120724000, Cliente 5]
