e6920e79-11b1-481b-ac50-33d6f8b777eb, [20:57:35:230:75455230:230258000, Cliente 2]
f31c263a-4c2f-4b0c-a4ca-9f475eff4fca, [20:57:35:230:75455230:230258000, Cliente 2]
bb0faa40-8626-42ea-b704-2510632bac69, [20:57:35:230:75455230:230258000, Cliente 2]
c0f41b3d-aca2-4e36-9f65-fce2dcbe1ca6, [20:57:35:230:75455230:230258000, Cliente 2]
e1ef1539-05f2-4323-a448-bf2126a64749, [20:57:35:230:75455230:230258000, Cliente 2]
6cc50a03-89a0-4894-b99f-1999fe05c9bd, [20:57:35:230:75455230:230258000, Cliente 2]
e3bb0f45-276a-4409-bae2-802f6888dc07, [20:57:35:230:75455230:230258000, Cliente 2]
4c42c53b-9bd7-46f6-8873-683d2cd61ceb, [20:57:35:230:75455230:230258000, Cliente 2]
11c95c10-b95d-46ee-bdb2-c1f672eeb4be, [20:57:35:230:75455230:230258000, Cliente 2]
ad1600a0-90a7-4056-96d7-a7b039b0f3ec, [20:57:35:230:75455230:230258000, Cliente 2]
e984747d-73dd-4eea-9a80-099bee5f4a09, [20:57:35:230:75455230:230258000, Cliente 2]
2522f0e8-ffda-4465-a6fd-45681a061859, [20:57:35:230:75455230:230258000, Cliente 2]
9b3cbacb-d1b2-4c7c-b884-cd0a5f5c5530, [20:57:35:230:75455230:230258000, Cliente 2]
102e549a-29bf-4230-a483-4bf00f1832a6, [20:57:35:230:75455230:230258000, Cliente 2]
e9b6c0ad-2eac-4f89-ade3-1159efdff151, [20:57:35:230:75455230:230258000, Cliente 2]
ae132b6b-3c95-445a-b102-823def51cc62, [20:57:35:230:75455230:230258000, Cliente 2]
920ff0df-dd1e-41b3-b6ee-c04bb86fb8f8, [20:57:35:230:75455230:230258000, Cliente 2]
0259bf95-83f7-4363-a18b-e5fcae637df1, [20:57:35:230:75455230:230258000, Cliente 2]
2ca95ac7-04be-4a20-8c14-199be8361b7b, [20:57:35:230:75455230:230258000, Cliente 2]
0d7cdaf5-72bb-4f82-b92b-8a6cfd110ff8, [20:57:35:230:75455230:230258000, Cliente 2]
1128f7dc-aea0-41e6-bea4-e0228dd86daa, [20:57:35:230:75455230:230258000, Cliente 2]
bf10df61-7fb3-4fc1-8e49-f03f5c566804, [20:57:35:230:75455230:230258000, Cliente 2]
e6d01386-6dfd-4436-8f1f-efc5eab0a694, [20:57:35:230:75455230:230258000, Cliente 2]
e440d436-5c36-46c5-8a60-097a41156c3c, [20:57:35:230:75455230:230258000, Cliente 2]
49b08d29-7420-48fe-95af-40b771ef80b7, [20:57:35:230:75455230:230258000, Cliente 2]
5ef2023e-79df-44c3-9d67-00280a38bf88, [20:57:35:230:75455230:230258000, Cliente 2]
d3d25e92-3b99-401f-877b-8197ca180ca0, [20:57:35:230:75455230:230258000, Cliente 2]
c3859795-231b-464a-bbfb-094466349fd6, [20:57:35:230:75455230:230258000, Cliente 2]
1aa81870-5d4a-44de-96df-17fc5a92acdf, [20:57:35:230:75455230:230258000, Cliente 2]
a4164543-a76a-4195-a08d-df3c32b23a8b, [20:57:35:230:75455230:230258000, Cliente 2]
92ce3b62-d086-4cca-8ff2-4a836117156d, [20:57:35:230:75455230:230258000, Cliente 2]
190e3583-595f-43b6-b337-5a1414245f69, [20:57:35:230:75455230:230258000, Cliente 2]
d14e9790-fd72-420c-a022-4cbf4d4f7da8, [20:57:35:230:75455230:230258000, Cliente 2]
fad0832b-2b04-42ea-8aca-a19478072ee4, [20:57:35:230:75455230:230258000, Cliente 2]
4b4776d8-7cd9-4a6c-87c9-b55381894eb2, [20:57:35:230:75455230:230258000, Cliente 2]
58db3265-9de8-4790-930d-716a7823de91, [20:57:35:230:75455230:230258000, Cliente 2]
e4ea5b3c-24cb-4708-9f55-8aaf66c6c5b6, [20:57:35:230:75455230:230258000, Cliente 2]
bb5020a3-1f65-4f58-afb4-eaae0e84a149, [20:57:35:230:75455230:230258000, Cliente 2]
168d44e7-b45a-4365-ac76-bc3de3f4c82d, [20:57:35:230:75455230:230258000, Cliente 2]
c48bd548-e3b3-434b-bb21-d24302e7fe8f, [20:57:35:230:75455230:230258000, Cliente 2]
a49ebfd4-f0bb-415d-8b4a-86a617d12828, [20:57:35:230:75455230:230258000, Cliente 2]
0a856ffa-a51b-49e0-9924-c547f5f86ef3, [20:57:35:230:75455230:230258000, Cliente 2]
b64a89fd-7131-4712-a03d-aababbef0c4b, [20:57:35:230:75455230:230258000, Cliente 2]
ed965516-9815-4c7d-a396-e698e7c1f545, [20:57:35:230:75455230:230258000, Cliente 2]
59223a9e-98f5-459e-b171-bd54bb7198df, [20:57:35:230:75455230:230258000, Cliente 2]
352426f4-2cd9-42c6-9b7c-b9665082e610, [20:57:35:230:75455230:230258000, Cliente 2]
542c3727-8da1-42b1-9581-beedda3a2949, [20:57:35:230:75455230:230258000, Cliente 2]
32ddc153-352f-4f41-8ace-bd39f95ff6b3, [20:57:35:230:75455230:230258000, Cliente 2]
8cfaf218-c11c-4c21-a3dc-9b9ec572bf96, [20:57:35:230:75455230:230258000, Cliente 2]
cb62a4c9-d270-465a-a7fc-0eb4420feba2, [20:57:35:230:75455230:230258000, Cliente 2]
6023b690-9ebb-4ffe-861d-da88e4f06771, [20:57:35:230:75455230:230258000, Cliente 2]
6e15aae9-ac43-45d8-b736-5373232eccad, [20:57:35:230:75455230:230258000, Cliente 2]
206e2270-f9fb-477f-a9b7-3ecb591c9d47, [20:57:35:230:75455230:230258000, Cliente 2]
f9279bc6-e0e8-4af7-bda7-cc452c6e7903, [20:57:35:230:75455230:230258000, Cliente 2]
e529dd83-baec-4877-b8bc-ff8d6443e0c2, [20:57:35:230:75455230:230258000, Cliente 2]
