8335f253-8503-4bbb-bc0c-4d9dd78b8cb0, [19:31:36:993:70296993:993314000, Cliente 4]
85cee46f-6dab-45ef-837c-7972d417fdb0, [19:31:36:993:70296993:993314000, Cliente 4]
d140d692-e472-449a-bf01-156b6e56f8fa, [19:31:36:993:70296993:993314000, Cliente 4]
6477ebec-f1ff-4ea7-8c93-c5f1f1d05e86, [19:31:36:993:70296993:993314000, Cliente 4]
6e848f7f-860c-4f47-a30b-2fb7f0115a2e, [19:31:36:993:70296993:993314000, Cliente 4]
3057ecd2-3079-4054-8bf4-781f7738c3b0, [19:31:36:993:70296993:993314000, Cliente 4]
13579216-78e7-4369-b4c0-886a5f30f57c, [19:31:36:993:70296993:993314000, Cliente 4]
906ccbd6-7791-4460-bd5c-4585c7ec6d41, [19:31:36:993:70296993:993314000, Cliente 4]
d5df72b1-2324-4155-b334-17e2bcfc195c, [19:31:38:012:70298012:012481000, Cliente 5]
930dac8f-6306-4379-b0aa-0018b8766555, [19:31:38:012:70298012:012481000, Cliente 5]
1daa0549-95ce-4fba-9222-80850fd0e267, [19:31:38:012:70298012:012481000, Cliente 5]
f14e07fc-7254-403c-87ac-dbd9771dbeeb, [19:31:38:012:70298012:012481000, Cliente 5]
8cc07fe4-6a2e-4ffd-b658-937456653fb0, [19:31:38:012:70298012:012481000, Cliente 5]
9e636f35-a13c-4866-ab6d-4ae8f250ec81, [19:31:38:012:70298012:012481000, Cliente 5]
99a2ad73-179f-40cf-a2c4-a2b24e0655a4, [19:31:38:012:70298012:012481000, Cliente 5]
65dbffee-8c93-4687-97c9-a83a1f70d452, [19:31:38:012:70298012:012481000, Cliente 5]
f602e39d-1158-4bfb-a05d-8571ab52356d, [19:31:38:012:70298012:012481000, Cliente 5]
bc4b9ecd-55e6-4037-9bec-f60110ff3ff0, [19:31:38:012:70298012:012481000, Cliente 5]
ec3162dc-15f0-44fc-b9e7-ea8453fef371, [19:31:38:012:70298012:012481000, Cliente 5]
