131b69b8-ba51-4397-8373-df1660063200, [19:48:02:968:71282968:968480000, Cliente 4]
0e2ff3f1-ef1e-437c-8176-9fb34181228d, [19:48:02:968:71282968:968480000, Cliente 4]
4d2c4f33-742b-47e1-ac08-9b9525aaf14e, [19:48:02:968:71282968:968480000, Cliente 4]
d59d62a7-3d2c-45a4-b67d-28a6f09b6633, [19:48:02:968:71282968:968480000, Cliente 4]
ed133b9e-07c5-4c3c-aac7-ed32bee960ce, [19:48:02:968:71282968:968480000, Cliente 4]
212c33fc-2f1e-478d-a8a3-3464bbd16f1a, [19:48:02:968:71282968:968480000, Cliente 4]
4caa250b-76eb-4900-8652-2eb1e5bcac92, [19:48:02:968:71282968:968480000, Cliente 4]
e5fbcc04-87ba-4fda-900c-361b908ddaa9, [19:48:04:010:71284010:010767000, Cliente 5]
877345f2-770c-46c8-84cf-ae2542f795da, [19:48:04:010:71284010:010767000, Cliente 5]
fb7ddbc2-1ad1-49c3-b09a-2d4712dff30e, [19:48:04:010:71284010:010767000, Cliente 5]
6a215b6a-8620-44b7-8a50-a4a8576ab9a0, [19:48:04:010:71284010:010767000, Cliente 5]
48c389a1-7e91-4548-8aa9-08ad8a17a338, [19:48:04:010:71284010:010767000, Cliente 5]
813e4d9a-cf56-4d78-8539-936f099cf0d8, [19:48:04:010:71284010:010767000, Cliente 5]
3a960c31-2551-4067-993d-aaa59263810a, [19:48:04:010:71284010:010767000, Cliente 5]
1436401e-4398-43e5-ad02-c38df2812bdb, [19:48:04:010:71284010:010767000, Cliente 5]
79298c99-69ea-4604-858f-c22844dc798f, [19:48:04:010:71284010:010767000, Cliente 5]
f7f32839-5135-454c-bf5e-d9d313fe2991, [19:48:04:010:71284010:010767000, Cliente 5]
4ad3cfe0-a6db-4520-91be-32be96141887, [19:48:04:010:71284010:010767000, Cliente 5]
fd334f39-52b3-4e5f-a426-8f09d47e6482, [19:48:04:010:71284010:010767000, Cliente 5]
6f33be8d-deec-4c06-b0ea-aadda2563763, [19:48:04:010:71284010:010767000, Cliente 5]
e890f6b0-bca1-414a-b394-20139c7e4a61, [19:48:04:010:71284010:010767000, Cliente 5]
cf3263ab-b28e-40e2-aa12-ebb8c9072585, [19:48:04:010:71284010:010767000, Cliente 5]
778903cb-9840-4fc3-a480-d04e5b49699c, [19:48:04:010:71284010:010767000, Cliente 5]
a4c95c19-3432-444b-bf5c-a08582ff5dd0, [19:48:04:010:71284010:010767000, Cliente 5]
